Item,Description,Quantity On Hand,Quantity On Purchase Order,Price,Width,Height,Depth,Cub. ft,Weight
Cabinets(Cherryville):WMD3642-Cherryville,WMD3642-Cherryville Mullion Door Only,17.00 ,0.00 ,539.00 ,19.30,2.56,41.93,1.20,27.4
Cabinets(Cherryville):WN630-Cherryville,WN630-Cherryville,19.00 ,45.00 ,129.00 ,8.08,31.89,13.59,2.03,13.6
Cabinets(Cherryville):WN636-Cherryville,WN636-Cherryville,12.00 ,35.00 ,139.00 ,8.08,37.8,13.59,2.4,7.376
Cabinets(Cherryville):WN642-Cherryville,WN642-Cherryville,8.00 ,30.00 ,149.00 ,8.08,43.71,13.59,2.78,10.1
Cabinets(Cherryville):WR3015-Cherryville,WR3015-Cherryville,7.00 ,20.00 ,319.00 ,32.09,16.93,14.38,4.52,21.860
Cabinets(Cherryville):WR3615-Cherryville,WR3615-Cherryville,4.00 ,20.00 ,359.00 ,38,16.93,14.38,5.35,28.851
Cabinets(Geneva),,0.00 ,0.00 ,,,,,,
Cabinets(Geneva):B09-Geneva,B09-Geneva,46.00 ,55.00 ,351.00 ,11.23,36.42,27.17,6.43,51.4
Cabinets(Geneva):B12-Geneva,B12-Geneva,79.00 ,90.00 ,285.00 ,25.20,5.71,36.03,3.00,42.4
Cabinets(Geneva):B15-Geneva,B15-Geneva,86.00 ,90.00 ,307.00 ,25.20,5.71,36.03,3.00,46.3
Cabinets(Geneva):B18-Geneva,B18-Geneva,83.00 ,88.00 ,329.00 ,25.20,5.71,36.03,3.00,49.4
Cabinets(Geneva):B21-Geneva,B21-Geneva,47.00 ,55.00 ,340.00 ,25.20,5.71,36.03,3.00,53.8
Cabinets(Geneva):B24-Geneva,B24-Geneva,107.00 ,95.00 ,384.00 ,25.20,5.71,38.78,3.23,59.1
Cabinets(Geneva):B27-Geneva,B27-Geneva,39.00 ,35.00 ,406.00 ,28.35,5.71,38.78,3.64,63.5
Cabinets(Geneva):B30-Geneva,B30-Geneva,64.00 ,65.00 ,472.00 ,31.50,5.71,38.78,4.04,68.2
Cabinets(Geneva):B33-Geneva,B33-Geneva,20.00 ,20.00 ,505.00 ,33.08,5.71,36.03,3.94,79.4
Cabinets(Geneva):B36-Geneva,B36-Geneva,49.00 ,55.00 ,527.00 ,33.08,5.71,37.60,4.11,84.7
